origin_full,destination_full,miles,rate,rpm,deadhead_origin,deadhead_destination,weight,truck_type,pickup_date,delivery_date,broker_name,broker_contact
"Spokane, WA","Memphis, TN",704,1591,2.26,134,111,26255,Step Deck,2026-06-04,2026-06-05,XPO Logistics,800-755-2728
"Houston, TX","Detroit, MI",2177,5203,2.39,93,107,41960,Reefer,2026-05-30,2026-05-31,RXO,800-866-0190
"Fresno, CA","Amarillo, TX",441,1256,2.85,30,69,20885,Dry Van,2026-06-08,2026-06-10,Schneider,800-558-6767
"Denver, CO","New Orleans, LA",1457,5347,3.67,152,101,20281,Flatbed,2026-05-19,2026-05-23,TQL,800-580-3101
"Birmingham, AL","Austin, TX",713,1589,2.23,98,91,12252,Flatbed,2026-06-03,2026-06-08,JB Hunt,800-452-4868
"Savannah, GA","Orlando, FL",1945,4979,2.56,176,2,11751,Step Deck,2026-06-15,2026-06-19,Uber Freight,844-822-8237
"New Orleans, LA","Buffalo, NY",347,808,2.33,156,138,45154,Step Deck,2026-06-15,2026-06-19,C.H. Robinson,800-323-7587
"Raleigh, NC","Grand Rapids, MI",992,2847,2.87,75,103,45556,Step Deck,2026-05-25,2026-05-28,XPO Logistics,800-755-2728
"Plano, TX","Tucson, AZ",1989,5827,2.93,3,124,14149,Flatbed,2026-05-24,2026-05-27,Echo Global Logistics,800-354-7993
"New York, NY","Rockford, IL",649,1713,2.64,4,100,15616,Dry Van,2026-05-23,2026-05-27,JB Hunt,800-452-4868
"New York, NY","San Antonio, TX",1184,3374,2.85,117,103,15808,Flatbed,2026-05-28,2026-06-01,Coyote Logistics,877-626-9683
"Boise, ID","Jacksonville, FL",1030,3522,3.42,158,84,14867,Reefer,2026-06-16,2026-06-19,XPO Logistics,800-755-2728
"Phoenix, AZ","Irving, TX",266,457,1.72,158,69,8872,Step Deck,2026-06-14,2026-06-18,Uber Freight,844-822-8237
"Tulsa, OK","Memphis, TN",2168,7479,3.45,210,113,28731,Reefer,2026-05-21,2026-05-22,Uber Freight,844-822-8237
"Houston, TX","Reno, NV",987,3197,3.24,57,20,11580,Dry Van,2026-06-16,2026-06-19,Schneider,800-558-6767
"Phoenix, AZ","Rochester, NY",380,912,2.4,179,161,39128,Dry Van,2026-06-07,2026-06-09,TQL,800-580-3101
"Chicago, IL","Lubbock, TX",1528,4308,2.82,61,99,47362,Flatbed,2026-05-26,2026-05-30,Landstar,800-872-9400
"Oklahoma City, OK","Dallas, TX",2240,5801,2.59,71,55,11939,Step Deck,2026-05-31,2026-06-03,XPO Logistics,800-755-2728
"Memphis, TN","Oklahoma City, OK",257,627,2.44,130,65,38369,Flatbed,2026-05-21,2026-05-23,Echo Global Logistics,800-354-7993
"Raleigh, NC","Cincinnati, OH",1250,4600,3.68,68,141,17722,Step Deck,2026-06-08,2026-06-12,Schneider,800-558-6767
"Philadelphia, PA","Atlanta, GA",217,694,3.2,111,118,45477,Dry Van,2026-05-21,2026-05-22,Landstar,800-872-9400
"Memphis, TN","San Jose, CA",1091,3502,3.21,76,65,46135,Dry Van,2026-05-25,2026-05-28,Echo Global Logistics,800-354-7993
"Detroit, MI","Memphis, TN",1182,3203,2.71,134,48,8483,Step Deck,2026-06-12,2026-06-15,Schneider,800-558-6767
"Fort Worth, TX","Savannah, GA",1527,3802,2.49,143,166,28647,Dry Van,2026-05-30,2026-06-02,TQL,800-580-3101
"Indianapolis, IN","Tampa, FL",1263,2349,1.86,190,132,28439,Reefer,2026-06-10,2026-06-11,XPO Logistics,800-755-2728
"Knoxville, TN","Cincinnati, OH",1326,4017,3.03,65,51,46517,Step Deck,2026-05-28,2026-06-02,TQL,800-580-3101
"Rochester, NY","Savannah, GA",659,1680,2.55,9,133,47460,Reefer,2026-06-04,2026-06-06,Landstar,800-872-9400
"Seattle, WA","Lubbock, TX",1276,4351,3.41,101,57,12015,Dry Van,2026-06-02,2026-06-05,JB Hunt,800-452-4868
"Nashville, TN","Plano, TX",1023,2352,2.3,28,115,11141,Step Deck,2026-05-24,2026-05-28,C.H. Robinson,800-323-7587
"Spokane, WA","St Louis, MO",1754,2964,1.69,159,57,43061,Step Deck,2026-06-14,2026-06-16,Echo Global Logistics,800-354-7993
"Buffalo, NY","Memphis, TN",259,934,3.61,210,92,33016,Step Deck,2026-06-14,2026-06-18,Uber Freight,844-822-8237
"Philadelphia, PA","Tulsa, OK",1194,2973,2.49,115,115,17989,Reefer,2026-06-03,2026-06-08,TQL,800-580-3101
"Raleigh, NC","Grand Rapids, MI",1582,2974,1.88,47,8,12587,Dry Van,2026-05-23,2026-05-25,TQL,800-580-3101
"Sacramento, CA","Nashville, TN",1747,4402,2.52,123,60,20946,Step Deck,2026-05-28,2026-05-31,RXO,800-866-0190
"Dallas, TX","Philadelphia, PA",703,1855,2.64,77,108,47315,Step Deck,2026-06-15,2026-06-18,Coyote Logistics,877-626-9683
"Atlanta, GA","Grand Rapids, MI",354,700,1.98,18,96,8437,Reefer,2026-06-12,2026-06-15,JB Hunt,800-452-4868
"New York, NY","Cincinnati, OH",1093,3530,3.23,211,100,23730,Reefer,2026-06-18,2026-06-19,Landstar,800-872-9400
"Los Angeles, CA","Nashville, TN",454,935,2.06,194,59,36212,Flatbed,2026-06-11,2026-06-16,Echo Global Logistics,800-354-7993
"Sacramento, CA","Tacoma, WA",499,1462,2.93,138,11,34582,Flatbed,2026-06-13,2026-06-18,Echo Global Logistics,800-354-7993
"Tacoma, WA","Fresno, CA",1309,3913,2.99,125,30,42848,Step Deck,2026-06-17,2026-06-18,Coyote Logistics,877-626-9683
"Cleveland, OH","Knoxville, TN",2290,7396,3.23,45,164,23251,Flatbed,2026-05-28,2026-06-01,TQL,800-580-3101
"Phoenix, AZ","Lubbock, TX",2215,5249,2.37,104,160,27668,Step Deck,2026-05-26,2026-05-30,Uber Freight,844-822-8237
"Sacramento, CA","Austin, TX",1952,5953,3.05,180,166,45774,Step Deck,2026-05-28,2026-05-30,TQL,800-580-3101
"Fresno, CA","Cincinnati, OH",1132,2999,2.65,8,124,37431,Dry Van,2026-06-06,2026-06-08,C.H. Robinson,800-323-7587
"Savannah, GA","Fort Wayne, IN",1495,4963,3.32,91,94,27592,Step Deck,2026-05-20,2026-05-22,Landstar,800-872-9400
"Charlotte, NC","Rockford, IL",2538,6649,2.62,15,89,32605,Reefer,2026-06-19,2026-06-19,RXO,800-866-0190
"Tacoma, WA","Salt Lake City, UT",1879,4547,2.42,152,120,47705,Dry Van,2026-05-30,2026-05-31,Landstar,800-872-9400
"Austin, TX","Charlotte, NC",1079,3593,3.33,131,4,23279,Reefer,2026-06-18,2026-06-19,Schneider,800-558-6767
"Springfield, IL","Boise, ID",1951,6555,3.36,177,35,30482,Dry Van,2026-05-21,2026-05-25,Landstar,800-872-9400
"Little Rock, AR","San Jose, CA",1843,4165,2.26,145,56,8326,Dry Van,2026-05-25,2026-05-30,RXO,800-866-0190
"Tucson, AZ","Kansas City, MO",839,2483,2.96,156,16,23413,Dry Van,2026-06-18,2026-06-19,Uber Freight,844-822-8237
"Austin, TX","Denver, CO",2023,6392,3.16,144,109,46617,Dry Van,2026-05-25,2026-05-30,TQL,800-580-3101
"San Diego, CA","Greensboro, NC",2597,6856,2.64,153,82,26014,Reefer,2026-06-16,2026-06-17,RXO,800-866-0190
"Fort Worth, TX","Las Vegas, NV",1540,3495,2.27,29,121,28563,Reefer,2026-06-08,2026-06-10,XPO Logistics,800-755-2728
"Denver, CO","New York, NY",2081,6555,3.15,159,155,39303,Reefer,2026-05-28,2026-05-31,C.H. Robinson,800-323-7587
"Raleigh, NC","Denver, CO",2039,3486,1.71,176,107,13639,Dry Van,2026-05-31,2026-06-01,Schneider,800-558-6767
"Philadelphia, PA","Sacramento, CA",670,2056,3.07,41,112,14623,Flatbed,2026-06-18,2026-06-19,XPO Logistics,800-755-2728
"Jacksonville, FL","Spokane, WA",709,1800,2.54,49,132,27850,Dry Van,2026-06-08,2026-06-11,Schneider,800-558-6767
"Cincinnati, OH","Jacksonville, FL",185,495,2.68,208,46,16334,Flatbed,2026-06-05,2026-06-10,Schneider,800-558-6767
"San Diego, CA","Tulsa, OK",1053,2106,2.0,80,128,30432,Flatbed,2026-05-23,2026-05-25,XPO Logistics,800-755-2728
"Buffalo, NY","Greensboro, NC",761,1537,2.02,72,8,10890,Dry Van,2026-06-04,2026-06-08,Echo Global Logistics,800-354-7993
"St Louis, MO","Tucson, AZ",1841,6333,3.44,178,165,46094,Dry Van,2026-05-23,2026-05-25,C.H. Robinson,800-323-7587
"Pittsburgh, PA","Oklahoma City, OK",1533,3403,2.22,141,17,14409,Flatbed,2026-06-03,2026-06-08,C.H. Robinson,800-323-7587
"Detroit, MI","Fort Worth, TX",1065,3897,3.66,59,160,21741,Dry Van,2026-05-28,2026-05-29,C.H. Robinson,800-323-7587
"San Antonio, TX","Jacksonville, FL",1073,1759,1.64,51,149,33062,Reefer,2026-06-09,2026-06-10,Coyote Logistics,877-626-9683
"Savannah, GA","Fargo, ND",1718,6098,3.55,194,21,44388,Step Deck,2026-05-19,2026-05-23,Coyote Logistics,877-626-9683
"Savannah, GA","Atlanta, GA",617,1813,2.94,144,156,29639,Step Deck,2026-05-31,2026-06-05,Landstar,800-872-9400
"Fort Lauderdale, FL","Los Angeles, CA",458,984,2.15,157,55,22235,Reefer,2026-05-31,2026-06-02,Landstar,800-872-9400
"Spokane, WA","Greensboro, NC",1389,4583,3.3,106,85,33438,Reefer,2026-06-17,2026-06-19,Uber Freight,844-822-8237
"San Diego, CA","Fort Worth, TX",2229,5996,2.69,142,73,10901,Flatbed,2026-06-17,2026-06-19,TQL,800-580-3101
"Seattle, WA","Arlington, TX",2519,6247,2.48,201,94,34460,Reefer,2026-05-28,2026-05-30,Schneider,800-558-6767
"Arlington, TX","San Antonio, TX",1412,2668,1.89,182,145,40732,Flatbed,2026-05-28,2026-06-02,Coyote Logistics,877-626-9683
"New York, NY","Cleveland, OH",2115,3976,1.88,95,15,27346,Flatbed,2026-05-19,2026-05-22,Coyote Logistics,877-626-9683
"New Orleans, LA","Plano, TX",1742,4389,2.52,157,150,27801,Flatbed,2026-06-15,2026-06-17,C.H. Robinson,800-323-7587
"Rockford, IL","Lubbock, TX",1694,3083,1.82,97,105,32970,Step Deck,2026-05-27,2026-05-31,JB Hunt,800-452-4868
"Phoenix, AZ","Fort Wayne, IN",667,1820,2.73,93,26,43888,Reefer,2026-05-31,2026-06-03,Echo Global Logistics,800-354-7993
"Reno, NV","Salt Lake City, UT",569,1138,2.0,29,30,41400,Reefer,2026-05-26,2026-05-28,Schneider,800-558-6767
"Philadelphia, PA","Kansas City, MO",1595,2902,1.82,42,150,43135,Flatbed,2026-06-15,2026-06-19,Uber Freight,844-822-8237
"Pittsburgh, PA","Tucson, AZ",1418,2268,1.6,146,158,22670,Flatbed,2026-05-20,2026-05-23,Landstar,800-872-9400
"Arlington, TX","Greensboro, NC",554,958,1.73,41,68,16785,Dry Van,2026-05-20,2026-05-24,Landstar,800-872-9400
"Fargo, ND","St Louis, MO",1101,2246,2.04,218,3,39644,Step Deck,2026-06-18,2026-06-19,Uber Freight,844-822-8237
"Rochester, NY","Spokane, WA",1574,2565,1.63,219,150,34387,Step Deck,2026-05-29,2026-06-01,Uber Freight,844-822-8237
"Kansas City, MO","San Diego, CA",2235,6146,2.75,58,133,39573,Step Deck,2026-05-22,2026-05-26,Echo Global Logistics,800-354-7993
"Arlington, TX","San Diego, CA",941,2813,2.99,182,140,46894,Step Deck,2026-06-03,2026-06-07,C.H. Robinson,800-323-7587
"Orlando, FL","Sacramento, CA",1332,3756,2.82,126,15,18446,Dry Van,2026-06-07,2026-06-08,XPO Logistics,800-755-2728
"Kansas City, MO","Cleveland, OH",230,809,3.52,156,107,47502,Flatbed,2026-06-11,2026-06-15,Echo Global Logistics,800-354-7993
"Boise, ID","Raleigh, NC",1021,2940,2.88,1,94,9612,Flatbed,2026-06-08,2026-06-12,TQL,800-580-3101
"Jacksonville, FL","Los Angeles, CA",1559,4552,2.92,29,12,45111,Reefer,2026-06-10,2026-06-13,Landstar,800-872-9400
"New Orleans, LA","Phoenix, AZ",624,2115,3.39,172,71,12937,Reefer,2026-05-19,2026-05-21,C.H. Robinson,800-323-7587
"Knoxville, TN","Jacksonville, FL",1567,4763,3.04,32,127,43017,Dry Van,2026-06-05,2026-06-08,Coyote Logistics,877-626-9683
"San Jose, CA","Savannah, GA",989,3204,3.24,54,140,39365,Reefer,2026-06-16,2026-06-19,Schneider,800-558-6767
"Rochester, NY","Austin, TX",754,2548,3.38,22,55,39516,Reefer,2026-06-01,2026-06-05,Landstar,800-872-9400
"Memphis, TN","Chicago, IL",1140,2496,2.19,135,95,15436,Step Deck,2026-05-22,2026-05-27,Schneider,800-558-6767
"Kansas City, MO","Knoxville, TN",1655,3872,2.34,1,56,32644,Dry Van,2026-06-08,2026-06-12,Schneider,800-558-6767
"Tacoma, WA","Denver, CO",1275,3608,2.83,17,162,34202,Reefer,2026-06-06,2026-06-08,Uber Freight,844-822-8237
"Pittsburgh, PA","New Orleans, LA",1186,3925,3.31,59,131,32984,Dry Van,2026-05-30,2026-06-03,XPO Logistics,800-755-2728
"Buffalo, NY","Spokane, WA",742,1157,1.56,117,59,42651,Flatbed,2026-05-19,2026-05-21,JB Hunt,800-452-4868
"Buffalo, NY","Irving, TX",2202,6936,3.15,79,54,44989,Step Deck,2026-05-20,2026-05-23,XPO Logistics,800-755-2728
"Detroit, MI","Seattle, WA",259,777,3.0,152,13,40257,Flatbed,2026-06-03,2026-06-08,Uber Freight,844-822-8237
"New York, NY","San Diego, CA",1713,3288,1.92,99,58,18479,Flatbed,2026-05-31,2026-06-05,JB Hunt,800-452-4868
"Fort Worth, TX","Detroit, MI",751,1426,1.9,7,2,40446,Step Deck,2026-05-24,2026-05-26,XPO Logistics,800-755-2728
"Fresno, CA","Knoxville, TN",1822,2988,1.64,69,75,21412,Flatbed,2026-06-09,2026-06-13,Coyote Logistics,877-626-9683
"Buffalo, NY","Raleigh, NC",1785,6086,3.41,29,1,44120,Dry Van,2026-06-10,2026-06-11,Landstar,800-872-9400
"Detroit, MI","Greensboro, NC",1220,3623,2.97,14,142,10098,Dry Van,2026-05-23,2026-05-27,RXO,800-866-0190
"New Orleans, LA","Savannah, GA",281,677,2.41,11,71,37053,Dry Van,2026-05-30,2026-06-02,Uber Freight,844-822-8237
"Salt Lake City, UT","Philadelphia, PA",2560,9292,3.63,10,3,31480,Step Deck,2026-06-14,2026-06-19,Schneider,800-558-6767
"Lubbock, TX","San Jose, CA",1310,3327,2.54,73,130,19115,Flatbed,2026-06-03,2026-06-06,Coyote Logistics,877-626-9683
"Greensboro, NC","Seattle, WA",1765,3953,2.24,108,150,43684,Flatbed,2026-05-22,2026-05-24,JB Hunt,800-452-4868
"Rockford, IL","Irving, TX",1662,2775,1.67,177,124,22909,Flatbed,2026-06-07,2026-06-08,Schneider,800-558-6767
"Memphis, TN","Boise, ID",1681,5732,3.41,158,42,9946,Step Deck,2026-06-02,2026-06-05,RXO,800-866-0190
"Savannah, GA","New York, NY",1873,3539,1.89,108,121,46189,Flatbed,2026-05-19,2026-05-23,Landstar,800-872-9400
"Dallas, TX","Lubbock, TX",1651,3813,2.31,200,63,29630,Step Deck,2026-05-23,2026-05-24,TQL,800-580-3101
"Tacoma, WA","Austin, TX",2240,4032,1.8,153,22,39057,Dry Van,2026-06-13,2026-06-16,TQL,800-580-3101
"Charlotte, NC","Rockford, IL",1048,2106,2.01,121,85,43764,Reefer,2026-06-04,2026-06-05,C.H. Robinson,800-323-7587
"Savannah, GA","St Louis, MO",444,1234,2.78,108,98,17411,Flatbed,2026-06-02,2026-06-07,Uber Freight,844-822-8237
"Tampa, FL","New York, NY",709,1240,1.75,189,41,16942,Step Deck,2026-06-15,2026-06-19,Echo Global Logistics,800-354-7993
"Reno, NV","Tulsa, OK",2511,7909,3.15,114,23,17464,Dry Van,2026-06-02,2026-06-03,Coyote Logistics,877-626-9683
"Charlotte, NC","Kansas City, MO",242,767,3.17,121,68,29191,Dry Van,2026-06-07,2026-06-10,Uber Freight,844-822-8237
"Tulsa, OK","Pittsburgh, PA",1611,4591,2.85,188,80,25775,Dry Van,2026-05-24,2026-05-26,JB Hunt,800-452-4868
"Fort Worth, TX","Knoxville, TN",1288,4611,3.58,181,13,22694,Step Deck,2026-06-01,2026-06-06,TQL,800-580-3101
"Tulsa, OK","Pittsburgh, PA",697,2502,3.59,75,83,24023,Dry Van,2026-06-18,2026-06-19,Coyote Logistics,877-626-9683
"Irving, TX","Cincinnati, OH",1564,4347,2.78,35,116,10760,Dry Van,2026-06-03,2026-06-05,XPO Logistics,800-755-2728
"Springfield, IL","Cleveland, OH",1137,3683,3.24,142,1,47701,Reefer,2026-06-19,2026-06-19,Landstar,800-872-9400
"Fargo, ND","Detroit, MI",1791,3456,1.93,147,71,25595,Reefer,2026-06-08,2026-06-11,Schneider,800-558-6767
"Irving, TX","Tulsa, OK",1844,5716,3.1,106,56,18582,Dry Van,2026-05-19,2026-05-22,Coyote Logistics,877-626-9683
"Tucson, AZ","Chicago, IL",445,801,1.8,112,119,29447,Flatbed,2026-06-13,2026-06-14,JB Hunt,800-452-4868
"Fort Worth, TX","Tulsa, OK",810,2762,3.41,172,82,12457,Step Deck,2026-05-24,2026-05-26,Coyote Logistics,877-626-9683
"Boise, ID","Charlotte, NC",1127,2614,2.32,161,55,34777,Dry Van,2026-06-09,2026-06-13,Schneider,800-558-6767
"Detroit, MI","Seattle, WA",1821,3569,1.96,193,16,29702,Dry Van,2026-06-19,2026-06-19,Uber Freight,844-822-8237
"San Jose, CA","Knoxville, TN",1675,5661,3.38,161,157,28491,Reefer,2026-06-16,2026-06-19,C.H. Robinson,800-323-7587
"Fort Wayne, IN","Little Rock, AR",1634,2924,1.79,174,155,39784,Flatbed,2026-05-26,2026-05-27,Uber Freight,844-822-8237
"Knoxville, TN","Oklahoma City, OK",1228,4076,3.32,39,90,24507,Reefer,2026-05-23,2026-05-25,Landstar,800-872-9400
"Cincinnati, OH","Orlando, FL",1819,6220,3.42,72,96,10707,Step Deck,2026-05-23,2026-05-26,Echo Global Logistics,800-354-7993
"Fresno, CA","Tulsa, OK",1653,3107,1.88,32,136,17400,Flatbed,2026-06-12,2026-06-13,XPO Logistics,800-755-2728
"Atlanta, GA","Grand Rapids, MI",2155,6874,3.19,94,25,34790,Reefer,2026-06-08,2026-06-10,XPO Logistics,800-755-2728
"New Orleans, LA","Orlando, FL",2037,3809,1.87,199,57,45355,Dry Van,2026-05-25,2026-05-29,RXO,800-866-0190
"Jacksonville, FL","Memphis, TN",753,1287,1.71,210,119,40279,Flatbed,2026-06-11,2026-06-15,RXO,800-866-0190
"Savannah, GA","Seattle, WA",2172,4213,1.94,53,11,45603,Reefer,2026-06-06,2026-06-09,Echo Global Logistics,800-354-7993
"Jacksonville, FL","Fargo, ND",1029,1739,1.69,193,108,21238,Step Deck,2026-05-30,2026-06-04,Schneider,800-558-6767
"Reno, NV","Spokane, WA",427,687,1.61,132,79,15883,Dry Van,2026-05-20,2026-05-25,Uber Freight,844-822-8237
"Lubbock, TX","Tampa, FL",2489,8387,3.37,168,135,20256,Step Deck,2026-06-04,2026-06-07,XPO Logistics,800-755-2728
"Knoxville, TN","San Antonio, TX",1182,2222,1.88,160,51,42386,Reefer,2026-05-26,2026-05-29,TQL,800-580-3101
"Philadelphia, PA","Plano, TX",1734,2965,1.71,61,68,25018,Step Deck,2026-06-04,2026-06-06,JB Hunt,800-452-4868
"Philadelphia, PA","New Orleans, LA",1764,4745,2.69,143,146,45607,Reefer,2026-06-04,2026-06-06,JB Hunt,800-452-4868
"Denver, CO","Salt Lake City, UT",827,1422,1.72,156,69,25264,Flatbed,2026-05-28,2026-06-02,Schneider,800-558-6767
"Cincinnati, OH","Plano, TX",287,1056,3.68,188,58,9905,Step Deck,2026-06-04,2026-06-08,Landstar,800-872-9400
"San Jose, CA","Philadelphia, PA",2004,7054,3.52,100,153,22623,Dry Van,2026-06-17,2026-06-19,Landstar,800-872-9400
"Austin, TX","Fort Lauderdale, FL",299,1028,3.44,161,32,40658,Step Deck,2026-06-16,2026-06-17,RXO,800-866-0190
"Birmingham, AL","Savannah, GA",2557,5190,2.03,58,74,30919,Dry Van,2026-05-22,2026-05-26,Echo Global Logistics,800-354-7993
"Fargo, ND","Savannah, GA",2245,4781,2.13,172,38,46958,Flatbed,2026-05-21,2026-05-23,Echo Global Logistics,800-354-7993
"Tampa, FL","Sacramento, CA",1671,3826,2.29,9,127,30018,Reefer,2026-05-26,2026-05-30,RXO,800-866-0190
"Irving, TX","Knoxville, TN",1849,4160,2.25,216,118,9453,Reefer,2026-05-21,2026-05-22,Echo Global Logistics,800-354-7993
"Pittsburgh, PA","Cleveland, OH",701,1822,2.6,186,55,47154,Reefer,2026-05-19,2026-05-22,Landstar,800-872-9400
"Miami, FL","Atlanta, GA",922,2683,2.91,42,77,27694,Dry Van,2026-06-09,2026-06-11,Uber Freight,844-822-8237
"Sacramento, CA","Denver, CO",303,1130,3.73,152,143,19311,Dry Van,2026-06-04,2026-06-08,TQL,800-580-3101
"Boise, ID","Little Rock, AR",1908,5685,2.98,43,20,20923,Reefer,2026-06-11,2026-06-15,Coyote Logistics,877-626-9683
"Tampa, FL","Fort Lauderdale, FL",1815,3630,2.0,182,101,46984,Dry Van,2026-06-14,2026-06-16,Coyote Logistics,877-626-9683
"Charlotte, NC","Plano, TX",2574,7258,2.82,108,124,38596,Step Deck,2026-06-05,2026-06-10,C.H. Robinson,800-323-7587
"New Orleans, LA","Cleveland, OH",691,1610,2.33,14,130,37261,Dry Van,2026-06-01,2026-06-05,Landstar,800-872-9400
"Memphis, TN","Tacoma, WA",1674,4586,2.74,118,65,12178,Flatbed,2026-06-04,2026-06-09,Schneider,800-558-6767
"Philadelphia, PA","Jacksonville, FL",593,1203,2.03,204,80,43106,Reefer,2026-05-31,2026-06-01,Echo Global Logistics,800-354-7993
"Boise, ID","San Diego, CA",1982,6520,3.29,62,35,28317,Dry Van,2026-05-30,2026-06-02,TQL,800-580-3101
"Miami, FL","Phoenix, AZ",1937,5462,2.82,9,127,15776,Flatbed,2026-06-17,2026-06-19,RXO,800-866-0190
"Fresno, CA","Atlanta, GA",1895,5249,2.77,212,5,37534,Flatbed,2026-06-07,2026-06-11,Echo Global Logistics,800-354-7993
"Buffalo, NY","New Orleans, LA",1766,6463,3.66,142,93,36068,Flatbed,2026-06-18,2026-06-19,Coyote Logistics,877-626-9683
"Orlando, FL","Nashville, TN",1218,2874,2.36,163,65,14846,Step Deck,2026-05-20,2026-05-23,Echo Global Logistics,800-354-7993
"Raleigh, NC","Fort Wayne, IN",2090,3511,1.68,157,121,42884,Flatbed,2026-06-06,2026-06-09,Echo Global Logistics,800-354-7993
"Salt Lake City, UT","Birmingham, AL",237,573,2.42,108,88,37059,Dry Van,2026-06-16,2026-06-19,RXO,800-866-0190
"Sacramento, CA","Boise, ID",337,694,2.06,149,139,37262,Flatbed,2026-06-01,2026-06-05,JB Hunt,800-452-4868
"San Antonio, TX","Orlando, FL",1525,4437,2.91,57,164,35482,Step Deck,2026-06-05,2026-06-10,Schneider,800-558-6767
"Grand Rapids, MI","Indianapolis, IN",1652,2907,1.76,122,103,37410,Step Deck,2026-06-03,2026-06-04,Echo Global Logistics,800-354-7993
"Jacksonville, FL","San Antonio, TX",2478,6120,2.47,140,90,12098,Dry Van,2026-06-09,2026-06-14,TQL,800-580-3101
"Las Vegas, NV","Buffalo, NY",1441,4423,3.07,7,101,9707,Reefer,2026-06-13,2026-06-14,JB Hunt,800-452-4868
"San Antonio, TX","Greensboro, NC",1510,4726,3.13,87,112,24842,Reefer,2026-05-21,2026-05-23,RXO,800-866-0190
"San Diego, CA","Seattle, WA",799,2836,3.55,183,114,16236,Dry Van,2026-05-30,2026-06-02,JB Hunt,800-452-4868
"Arlington, TX","Fresno, CA",230,653,2.84,78,109,25454,Step Deck,2026-06-09,2026-06-10,RXO,800-866-0190
"Boise, ID","Little Rock, AR",1065,2619,2.46,109,34,11272,Step Deck,2026-06-04,2026-06-06,Landstar,800-872-9400
"St Louis, MO","San Antonio, TX",1030,3759,3.65,102,58,8638,Dry Van,2026-05-24,2026-05-29,Coyote Logistics,877-626-9683
"Fresno, CA","Oklahoma City, OK",2071,3997,1.93,153,4,41464,Step Deck,2026-06-12,2026-06-15,C.H. Robinson,800-323-7587
"Fort Wayne, IN","Arlington, TX",2585,6126,2.37,113,50,34696,Step Deck,2026-05-28,2026-05-29,Uber Freight,844-822-8237
"Arlington, TX","Spokane, WA",1215,3693,3.04,175,126,16000,Flatbed,2026-06-11,2026-06-13,RXO,800-866-0190
"Arlington, TX","Oklahoma City, OK",1502,2793,1.86,75,37,24830,Step Deck,2026-05-26,2026-05-29,Uber Freight,844-822-8237
"Tacoma, WA","Arlington, TX",348,716,2.06,15,144,12704,Step Deck,2026-06-07,2026-06-09,XPO Logistics,800-755-2728
"Fort Worth, TX","Irving, TX",1278,2032,1.59,75,17,42493,Step Deck,2026-06-11,2026-06-12,C.H. Robinson,800-323-7587
"Raleigh, NC","New York, NY",2540,5918,2.33,142,53,33980,Dry Van,2026-05-23,2026-05-27,Uber Freight,844-822-8237
"Springfield, IL","Lubbock, TX",2382,5192,2.18,144,22,42281,Reefer,2026-05-19,2026-05-23,TQL,800-580-3101
"Los Angeles, CA","Fort Worth, TX",2320,5475,2.36,102,147,23260,Dry Van,2026-06-06,2026-06-10,Schneider,800-558-6767
"Grand Rapids, MI","Oklahoma City, OK",1784,3853,2.16,99,67,38092,Flatbed,2026-05-26,2026-05-28,JB Hunt,800-452-4868
"Los Angeles, CA","Memphis, TN",668,1883,2.82,31,42,40323,Flatbed,2026-06-09,2026-06-13,C.H. Robinson,800-323-7587
"Fort Lauderdale, FL","Knoxville, TN",2269,8236,3.63,120,97,47197,Dry Van,2026-06-14,2026-06-15,JB Hunt,800-452-4868
"Houston, TX","San Antonio, TX",910,3330,3.66,41,84,10983,Reefer,2026-06-07,2026-06-12,TQL,800-580-3101
"Houston, TX","New Orleans, LA",2116,5268,2.49,68,124,10973,Reefer,2026-06-08,2026-06-13,C.H. Robinson,800-323-7587
"New York, NY","Tucson, AZ",1515,2681,1.77,68,151,44660,Reefer,2026-05-29,2026-06-03,RXO,800-866-0190
"Austin, TX","Amarillo, TX",1210,4319,3.57,47,76,9558,Reefer,2026-06-06,2026-06-09,Echo Global Logistics,800-354-7993
"Cleveland, OH","Tucson, AZ",1908,4464,2.34,60,99,10836,Flatbed,2026-06-14,2026-06-19,Echo Global Logistics,800-354-7993
"Philadelphia, PA","Tulsa, OK",1336,2979,2.23,190,108,28228,Flatbed,2026-06-06,2026-06-10,JB Hunt,800-452-4868
"Nashville, TN","Fort Lauderdale, FL",1212,2266,1.87,43,101,19146,Reefer,2026-06-15,2026-06-18,JB Hunt,800-452-4868
"Memphis, TN","Fargo, ND",323,784,2.43,28,165,15043,Step Deck,2026-05-25,2026-05-27,XPO Logistics,800-755-2728
"Philadelphia, PA","New York, NY",322,1114,3.46,130,70,17076,Dry Van,2026-05-29,2026-06-03,Schneider,800-558-6767
"Springfield, IL","Pittsburgh, PA",551,1096,1.99,142,30,30223,Flatbed,2026-05-29,2026-06-02,C.H. Robinson,800-323-7587
"San Jose, CA","Fort Lauderdale, FL",2133,5183,2.43,129,30,35596,Dry Van,2026-05-29,2026-05-30,Uber Freight,844-822-8237
"Fort Lauderdale, FL","Lubbock, TX",1636,4073,2.49,150,33,24482,Step Deck,2026-05-22,2026-05-26,C.H. Robinson,800-323-7587
"Philadelphia, PA","Salt Lake City, UT",2572,7304,2.84,81,65,17176,Reefer,2026-05-19,2026-05-22,TQL,800-580-3101
